timestamp,open,high,low,close,chg,chg_pct,stoch_k,stoch_d,stoch_k2,stoch_d2,stoch_k3,stoch_d3,stoch_k4,stoch_d4
2025-01-15 01:00:00,97189.71,97242.29,97134.6,97136.29,,,,,,,,,,
2025-01-15 01:05:00,97136.29,97145.99,96889.32,96937.01,-199.27999999999884,-0.21,,,,,,,,
2025-01-15 01:10:00,96937.01,96961.01,96818.08,96861.77,-75.23999999999069,-0.08,,,,,,,,
2025-01-15 01:15:00,96861.78,96888.02,96750.0,96867.67,5.899999999994179,0.01,,,,,,,,
2025-01-15 01:20:00,96867.67,96960.5,96858.18,96890.0,22.330000000001746,0.02,,,,,,,,
2025-01-15 01:25:00,96889.99,97002.0,96815.54,96973.31,83.30999999999767,0.09,,,,,,,,
2025-01-15 01:30:00,96973.31,97013.22,96942.88,96992.35,19.04000000000815,0.02,,,,,,,,
2025-01-15 01:35:00,96992.35,96992.35,96907.68,96958.29,-34.060000000012224,-0.04,,,,,,,,
2025-01-15 01:40:00,96958.3,96989.98,96885.61,96989.97,31.680000000007567,0.03,48.74565804708694,,,,,,,
2025-01-15 01:45:00,96989.97,97061.93,96987.88,97047.03,57.05999999999767,0.06,75.00946993610822,,,,,,,
2025-01-15 01:50:00,97047.03,97064.4,97012.0,97051.5,4.470000000001164,0.0,95.89694656488727,73.21735818269416,,,,,,
2025-01-15 01:55:00,97051.49,97077.72,97010.54,97029.97,-21.529999999998836,-0.02,85.42963505431472,85.44535051843673,,,,,,
2025-01-15 02:00:00,97029.97,97100.0,97029.97,97050.01,20.039999999993597,0.02,82.42635168389084,87.91764443436428,,,,,,
2025-01-15 02:05:00,97050.01,97056.49,96967.41,96967.42,-82.58999999999651,-0.09,53.39239260352993,73.74945978057849,44.165024680574675,,,,,
2025-01-15 02:10:00,96967.41,96984.03,96900.0,96902.31,-65.11000000000058,-0.07,7.789542422686289,47.86942890336902,38.463092502334824,,,,,
2025-01-15 02:15:00,96902.3,97043.97,96897.5,96960.82,58.51000000000931,0.06,35.08092728205915,32.08762076942512,60.23428571428771,47.6208009657324,,,,
2025-01-15 02:20:00,96960.82,96970.52,96899.23,96953.96,-6.860000000000582,-0.01,31.881151173098562,24.917206959281334,58.274285714287544,52.32388797697002,,,,
2025-01-15 02:25:00,96953.96,96954.59,96859.99,96860.0,-93.9600000000064,-0.1,0.0041664930606064455,22.322081649406112,15.629614005485974,44.71272847802041,,,,
2025-01-15 02:30:00,96860.0,96913.15,96851.5,96893.4,33.39999999999418,0.03,16.86116700200973,16.248828222722967,27.371159389720464,33.758353036497994,,,,
2025-01-15 02:35:00,96893.39,96946.48,96863.18,96946.47,53.070000000006985,0.05,38.21730382293809,18.36087910600281,38.21730382293809,27.072692406048176,,,,
2025-01-15 02:40:00,96946.47,97011.11,96946.47,96968.67,22.19999999999709,0.02,47.15090543259487,34.07645875251423,47.15090543259487,37.57978954841781,,,,
2025-01-15 02:45:00,96968.67,97049.46,96965.49,97020.24,51.570000000006985,0.05,82.3162105468564,55.89480660079645,67.90342052314094,51.09054325955797,,,,
2025-01-15 02:50:00,97020.25,97147.95,97020.24,97110.85,90.61000000000058,0.09,87.4852420306994,72.31745267005022,87.4852420306994,67.51318932881173,,,,
2025-01-15 02:55:00,97110.85,97127.14,97090.44,97105.48,-5.370000000009895,-0.01,85.67380671276722,85.15841976344099,85.67380671276722,80.35415642220251,,,,
2025-01-15 03:00:00,97105.48,97187.99,97105.47,97155.44,49.9600000000064,0.05,90.32660703141181,87.82855192495947,90.32660703141181,87.82855192495947,,,,
2025-01-15 03:05:00,97155.44,97244.01,97155.43,97199.99,44.55000000000291,0.05,88.7849991083055,88.2618042841615,88.7849991083055,88.2618042841615,,,,
